"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Яндекс Маркет","Поиск наушников","1","0","0","0","0"
"","Яндекс Маркет","Поиск телевизора","0","0","1","0","0"
